GEOIDFQ,TractNo,TractName
1400000US02020000500,Census Tract 5,Government Hill
1400000US02020000601,Census Tract 6.01,West Mountain View/Ship Creek
1400000US02020000602,Census Tract 6.02,East Mountain View
1400000US02020000701,Census Tract 7.01,Ptarmigan Area
1400000US02020000702,Census Tract 7.02,Northwest Muldoon
1400000US02020000703,Census Tract 7.03,Northeast Muldoon
1400000US02020000801,Census Tract 8.01,Wonder Park
1400000US02020000802,Census Tract 8.02,Russian Jack
1400000US02020000901,Census Tract 9.01,Merrill Field Vicinity
1400000US02020000902,Census Tract 9.02,Chester Creek
1400000US02020001000,Census Tract 10,West Fairview
1400000US02020001100,Census Tract 11,Downtown Anchorage Core
1400000US02020001200,Census Tract 12,Bootleggers Cove/Westchester
1400000US02020001300,Census Tract 13,Turnagain
1400000US02020001401,Census Tract 14.01,South Fireweed
1400000US02020001402,Census Tract 14.02,North Fireweed
1400000US02020001500,Census Tract 15,Rogers Park/Tudor Area
1400000US02020001601,Census Tract 16.01,Airport Heights
1400000US02020001602,Census Tract 16.02,University Area
1400000US02020001701,Census Tract 17.01,Baxter
1400000US02020001702,Census Tract 17.02,Cheney Lake
1400000US02020001731,Census Tract 17.31,Muldoon
1400000US02020001732,Census Tract 17.32,Scenic Foothills
1400000US02020001801,Census Tract 18.01,Campbell Park West
1400000US02020001802,Census Tract 18.02,Campbell Park East
1400000US02020001900,Census Tract 19,Midtown
1400000US02020002000,Census Tract 20,Spenard
1400000US02020002100,Census Tract 21,Woodland Park/Spenard
1400000US02020002201,Census Tract 22.01,Lake Spenard
1400000US02020002202,Census Tract 22.02,East Turnagain/Fish Creek
1400000US02020002301,Census Tract 23.01,Airport/Kincaid
1400000US02020002302,Census Tract 23.02,Connors Lake
1400000US02020002304,Census Tract 23.04,Jewel Lake/Birch Lake
1400000US02020002305,Census Tract 23.05,Dimond/Northwood
1400000US02020002400,Census Tract 24,Northwood
1400000US02020002501,Census Tract 25.01,Arctic
1400000US02020002502,Census Tract 25.02,Taku/Campbell
1400000US02020002601,Census Tract 26.01,Abbott Loop West
1400000US02020002602,Census Tract 26.02,Abbott Loop North
1400000US02020002603,Census Tract 26.03,Abbott Loop
1400000US02020002711,Census Tract 27.11,Campbell Lake/Bayshore
1400000US02020002712,Census Tract 27.12,Dimond/Southport
1400000US02020002713,Census Tract 27.13,Oceanview
1400000US02020002714,Census Tract 27.14,Klatt
1400000US02020002811,Census Tract 28.11,Independence Park
1400000US02020002812,Census Tract 28.12,Lower Hillside
1400000US02020002813,Census Tract 28.13,Hillside East
1400000US02020002821,Census Tract 28.21,Huffman
1400000US02020002822,Census Tract 28.22,Rabbit Creek
1400000US02020002823,Census Tract 28.23,Rabbit Creek/Bear Valley
1400000US02020980000,Census Tract 9800,Science Center/Bicentennial Park
